region	year	logc	logp	logpn	logy
43	0	4.620058798	0.063999583	-0.083881484	4.571062909
44	0	4.785823686	-0.105999289	-0.280048448	4.147665613
45	0	4.713127327	-0.03509132	-0.062242309	4.436510367
46	0	4.916324615	-0.068377297	-0.083881484	4.43025744
1	1	4.500920165	-0.002728515	-0.11234824	4.170958496
2	1	4.734442522	-0.01648389	-0.097219358	4.396768067
3	1	4.633757643	-0.172020571	-0.204918275	4.131954866
4	1	4.819474789	-0.002728515	-0.097219358	4.670913493
5	1	4.974662634	-0.130810303	-0.047428694	4.724622885
6	1	5.167639043	-0.130810303	-0.1785141	4.495051065
7	1	5.357529226	-0.299559782	-0.25991495	4.66775122
8	1	4.797442074	0.118085745	-0.070551111	4.446385516
9	1	4.687671407	-0.070551111	-0.235480925	4.309330962
10	1	4.611152258	-0.140170745	-0.118464467	4.339549995
11	1	4.870606649	-0.041730672	-0.306939889	4.638831273
12	1	4.889596966	-0.211629709	-0.306939889	4.466431384
13	1	4.681204872	-0.019257817	-0.204918275	4.457206573
14	1	4.630837933	-0.118464467	-0.204918275	4.456672674
15	1	4.985659308	-0.306939889	-0.25991495	4.255834329
16	1	4.75272775	-0.097219358	-0.172020571	4.226015955
17	1	4.906755164	-0.094220855	-0.204918275	4.344238656
18	1	4.806477043	-0.1785141	-0.299559782	4.524176089
19	1	4.865224091	-0.047428694	-0.204918275	4.593344635
20	1	4.893352133	-0.140170745	-0.211629709	4.500010297
21	1	4.721173862	-0.11234824	-0.127709525	4.427121697
22	1	4.510859507	-0.053159368	-0.172020571	4.032079799
23	1	4.921439715	-0.204918275	-0.306939889	4.445534159
24	1	4.765586907	-0.118464467	-0.140170745	4.331003314
25	1	4.685828089	-0.109304097	-0.204918275	4.438601453
26	1	5.291292752	-0.097219358	-0.140170745	4.665416922
27	1	5.515442846	-0.204918275	-0.094220855	4.555977197
28	1	4.797442074	0.050475521	-0.130810303	4.725612624
29	1	4.465908119	0.032174357	-0.097219358	4.2463684
30	1	4.80729437	0.050475521	-0.130810303	4.63748973
31	1	4.573679519	-0.127709525	-0.124618332	4.287829818
32	1	4.858260814	-0.152789209	-0.306939889	4.497587782
33	1	4.688591794	0.005434796	-0.204918275	4.29886614
34	1	4.742320024	-0.005464494	-0.1785141	4.4852181
35	1	4.768988271	0.045280705	-0.130810303	4.488511164
36	1	4.646312129	-0.235480925	-0.070551111	4.207758559
37	1	4.629862799	-0.124618332	-0.127709525	4.264202523
38	1	4.67562865	-0.11234824	-0.306939889	4.270539274
39	1	4.712229258	-0.064720191	-0.172020571	4.379536202
40	1	4.183575696	-0.097219358	-0.140170745	4.300724126
41	1	4.902307417	-0.070551111	-0.204918275	4.45613681
42	1	4.819474789	-0.25991495	-0.306939889	4.411604625
43	1	4.607168189	0.024227295	-0.140170745	4.566105642
44	1	4.71939133	-0.133920725	-0.306939889	4.163195211
45	1	4.714024591	-0.088250688	-0.11234824	4.439440465
46	1	4.910446567	-0.118464467	-0.140170745	4.425416649
1	2	4.497584975	0.020408872	-0.123274892	4.201394047
2	2	4.746669748	-0.044803277	-0.114566565	4.434068637
3	2	4.608165695	-0.055643492	-0.123274892	4.163136556
4	2	4.812184355	0	-0.044803277	4.682699294
5	2	4.787491743	0.083999974	0.012804272	4.749479753
6	2	5.043425117	0.0051414	-0.174107958	4.50071437
7	2	5.300315369	-0.308516159	-0.298044859	4.684966169
8	2	4.817050545	0.114340691	-0.123274892	4.485991026
9	2	4.699570861	-0.123274892	-0.177180157	4.333001751
10	2	4.628886713	-0.137959444	-0.132059722	4.367124226
11	2	4.826712456	0.064860634	-0.315558442	4.638966314
12	2	4.902307417	-0.237420238	-0.315558442	4.444754021
13	2	4.686750173	-0.028760152	-0.135005232	4.464044362
14	2	4.736198448	-0.126194603	-0.135005232	4.476572703
15	2	5.048573133	-0.315558442	-0.298044859	4.283475039
16	2	4.75272775	-0.123274892	-0.069361128	4.245938266
17	2	4.855928904	-0.020834087	-0.211612354	4.381986747
18	2	4.816241156	-0.174107958	-0.308516159	4.558424829
19	2	4.822697999	0.020408872	-0.211612354	4.618287329
20	2	4.856706812	-0.140922409	-0.237420238	4.477633906
21	2	4.647271362	0.00770222	-0.03942692	4.452894935
22	2	4.536891345	-0.069361128	-0.123274892	4.057367904
23	2	4.798266816	-0.074901308	-0.315558442	4.469959548
24	2	4.711330382	-0.132059722	-0.137959444	4.377896318
25	2	4.683056725	-0.135005232	-0.129122862	4.441993565
26	2	5.244389025	0.002574004	-0.137959444	4.725768314
27	2	5.582367853	-0.211612354	-0.028760152	4.546766136
28	2	4.793308128	0.05515182	-0.010362787	4.754655622
29	2	4.49980967	0.022930941	-0.114566565	4.273779666
30	2	4.779123493	0.047807846	-0.028760152	4.665028933
31	2	4.541164856	-0.03942692	-0.132059722	4.260247127
32	2	4.80073697	-0.058372006	-0.315558442	4.495426545
33	2	4.685828089	-0.010362787	-0.126194603	4.334227302
34	2	4.67562865	-0.010362787	-0.174107958	4.50066119
35	2	4.819474789	0.012804272	0.020408872	4.503771887
36	2	4.64053733	-0.177180157	-0.123274892	4.238224011
37	2	4.529368473	-0.007762005	-0.135005232	4.28601472
38	2	4.603168183	0.027956077	-0.315558442	4.288178801
39	2	4.667205577	0.040409538	-0.123274892	4.407896034
40	2	4.182050143	-0.114566565	-0.137959444	4.339710286
41	2	4.808927024	-0.028760152	-0.211612354	4.471110885
42	2	4.822697999	-0.298044859	-0.315558442	4.438444549
43	2	4.571613402	-0.002580647	-0.137959444	4.54798459
44	2	4.740574823	-0.140922409	-0.315558442	4.227318602
45	2	4.667205577	-0.007762005	-0.028760152	4.455255938
46	2	4.884315927	-0.129122862	-0.137959444	4.434037888
1	3	4.558078578	0.052896946	-0.123354081	4.230814626
2	3	4.696837375	-0.050643733	-0.101253734	4.473316946
3	3	4.645351976	-0.042881727	-0.095804129	4.203538113
4	3	4.795790546	-0.019950786	-0.050643733	4.691304141
5	3	4.767289035	0.116410352	-0.007434978	4.757330169
6	3	5.08202529	0.019560526	-0.16907633	4.523035837
7	3	5.361292166	-0.216989686	-0.29346005	4.732632111
8	3	4.812184355	0.078331843	-0.123354081	4.513100957
9	3	4.751000634	-0.123354081	-0.16615662	4.366199767
10	3	4.686750173	-0.186775907	-0.16324541	4.383777949
11	3	4.833102254	0.021978907	-0.296776802	4.669484356
12	3	4.936629881	-0.229335522	-0.296776802	4.479029829
13	3	4.685828089	-0.050643733	-0.154562287	4.461233287
14	3	4.632785353	-0.040307723	-0.154562287	4.519478736
15	3	5.09681299	-0.296776802	-0.29346005	4.307393091
16	3	4.785823686	-0.030077455	-0.076961041	4.26322235
17	3	4.891851758	-0.042881727	-0.17200459	4.394470942
18	3	4.841822087	-0.16907633	-0.29346005	4.584778639
19	3	4.799090879	0.012270093	-0.17200459	4.64136935
20	3	4.837075243	-0.032625227	-0.229335522	4.517689634
21	3	4.757032535	-0.00992564	-0.050643733	4.466222499
22	3	4.657762636	-0.076961041	-0.042881727	4.099199639
23	3	4.848900371	-0.095804129	-0.296776802	4.494184492
24	3	4.750135956	-0.154562287	-0.186775907	4.377309043
25	3	4.687671407	-0.154562287	-0.16324541	4.470676506
26	3	5.249652195	0.08288766	-0.186775907	4.731903995
27	3	5.627621114	-0.17200459	-0.042881727	4.562523434
28	3	4.829113417	0.029199155	0.019560526	4.781465539
29	3	4.528289142	0.029199155	-0.101253734	4.313828318
30	3	4.81462041	0.029199155	-0.025001302	4.68686047
31	3	4.590056548	-0.040307723	-0.154562287	4.359485027
32	3	4.825108606	-0.061087692	-0.296776802	4.514648399
33	3	4.748404354	-0.017435062	-0.095804129	4.347717425
34	3	4.666265285	0.098671528	-0.16907633	4.51525003
35	3	4.813809051	-0.007434978	0.012270093	4.503731266
36	3	4.744932128	-0.16615662	-0.123354081	4.258614725
37	3	4.571613402	-0.050643733	-0.16324541	4.332613942
38	3	4.666265285	0.026798193	-0.296776802	4.324229287
39	3	4.69043003	0.036367644	-0.042881727	4.415690126
40	3	4.21508618	-0.101253734	-0.186775907	4.367372836
41	3	4.82350218	-0.025001302	-0.17200459	4.506316026
42	3	4.855150391	-0.29346005	-0.296776802	4.477047561
43	3	4.574710979	-0.004950505	-0.186775907	4.54916041
44	3	4.714024591	0.026798193	-0.296776802	4.260376744
45	3	4.657762636	-0.007434978	-0.050643733	4.482578469
46	3	4.880526609	-0.16324541	-0.186775907	4.463366599
1	4	4.616110126	0.011890747	-0.111225635	4.285007198
2	4	4.828313737	-0.09531018	-0.116587578	4.510036335
3	4	4.643428898	0.053563443	-0.111225635	4.256816893
4	4	4.816241156	-0.046520016	-0.09531018	4.711932871
5	4	4.707726774	0.204794413	-0.004796172	4.774017989
6	4	5.051777237	0.067077162	-0.197750985	4.565074722
7	4	5.396351107	-0.215398502	-0.335037859	4.777101645
8	4	4.836281907	0.112986863	-0.021766276	4.555696053
9	4	4.762173935	-0.021766276	-0.203598955	4.418207408
10	4	4.837075243	-0.215398502	-0.194839775	4.460123914
11	4	4.84103251	0.002389487	-0.311896331	4.692365323
12	4	5.005287688	-0.25165625	-0.311896331	4.513129053
13	4	4.69501089	0.002389487	-0.103236245	4.533980588
14	4	4.709530201	-0.074476093	-0.103236245	4.591981462
15	4	5.18961795	-0.311896331	-0.335037859	4.350156155
16	4	4.830710862	-0.044016885	-0.111225635	4.298240403
17	4	4.916324615	-0.007202912	-0.146603474	4.429704008
18	4	4.891851758	-0.197750985	-0.335037859	4.613024684
19	4	4.769836808	0.095745057	-0.146603474	4.666141856
20	4	4.878246106	-0.044016885	-0.25165625	4.563175809
21	4	4.572646994	0.078200747	-0.071902089	4.498529238
22	4	4.71939133	-0.111225635	-0.044016885	4.161058442
23	4	4.86753445	-0.103236245	-0.311896331	4.522437043
24	4	4.805659047	-0.041520005	-0.215398502	4.47952693
25	4	4.653007515	-0.016888218	-0.194839775	4.540754356
26	4	5.291292752	-0.029128273	-0.215398502	4.74062444
27	4	5.691034902	-0.146603474	-0.044016885	4.589323428
28	4	4.855150391	0.007151401	0.021302581	4.803016289
29	4	4.598145571	-0.016888218	-0.116587578	4.364563105
30	4	4.786658062	0.021302581	-0.044016885	4.700908485
31	4	4.642465971	-0.071902089	-0.066773873	4.503045915
32	4	4.82350218	-0.08483888	-0.311896331	4.543080051
33	4	4.801559	-0.049029427	-0.103236245	4.373498959
34	4	4.691347882	0.067077162	-0.197750985	4.543277763
35	4	4.900820428	-0.004796172	0.095745057	4.537501847
36	4	4.776599302	-0.203598955	-0.021766276	4.302280155
37	4	4.634728988	-0.066773873	-0.194839775	4.437856224
38	4	4.714024591	-0.004796172	-0.335037859	4.384052531
39	4	4.687671407	0.115121336	-0.049029427	4.447514137
40	4	4.266896327	-0.116587578	-0.215398502	4.413172238
41	4	4.927253685	-0.044016885	-0.146603474	4.504265457
42	4	4.919980926	-0.335037859	-0.311896331	4.520523692
43	4	4.483002552	0.09791661	-0.215398502	4.579067293
44	4	4.766438334	-0.01203384	-0.335037859	4.312317929
45	4	4.689511334	-0.036544871	0.002389487	4.513566446
46	4	4.941642423	-0.194839775	-0.215398502	4.554962272
1	5	4.633757643	-0.053191729	-0.174246143	4.334629866
2	5	4.854371272	-0.137399869	-0.195927209	4.554346949
3	5	4.682131227	0.015642777	-0.174246143	4.341281367
4	5	4.82350218	-0.106863146	-0.137399869	4.744489109
5	5	4.694096395	0.130712107	-0.089471403	4.81866774
6	5	5.041487758	-0.009049836	-0.229356505	4.604735909
7	5	5.344246298	-0.252280145	-0.388714298	4.784282625
8	5	4.887337078	0.065382759	-0.053191729	4.615017427
9	5	4.785823686	-0.046091107	-0.281694031	4.471863579
10	5	4.802380355	-0.201421728	-0.255182905	4.541431301
11	5	4.82350218	-0.079667403	-0.37223946	4.755171672
12	5	5.049856007	-0.299766812	-0.37223946	4.602287594
13	5	4.705920089	-0.057953643	-0.163579375	4.689256045
14	5	4.746669748	-0.122014951	-0.163579375	4.681191137
15	5	5.307772525	-0.37223946	-0.388714298	4.410330465
16	5	4.841822087	-0.106863146	-0.174246143	4.341293151
17	5	4.927253685	-0.079667403	-0.185027918	4.467838886
18	5	4.922168313	-0.229356505	-0.388714298	4.658829355
19	5	4.797442074	0.035401927	-0.185027918	4.695850349
20	5	4.895598484	-0.099372474	-0.299766812	4.617707166
21	5	4.670957927	0.026668247	-0.119473653	4.621879377
22	5	4.744932128	-0.174246143	-0.106863146	4.227298833
23	5	4.883559212	-0.163579375	-0.37223946	4.58505791
24	5	4.786658062	-0.082109406	-0.255182905	4.568871533
25	5	4.669083512	-0.074801213	-0.255182905	4.659763698
26	5	5.305789381	-0.096888	-0.201421728	4.774065777
27	5	5.631211782	-0.185027918	-0.109372557	4.640593383
28	5	4.789157022	0.096537927	-0.009049836	4.836079828
29	5	4.594109239	-0.06034313	-0.195927209	4.396977505
30	5	4.776599302	0.031044622	-0.109372557	4.719539359
31	5	4.688591794	-0.119473653	-0.114410351	4.846210695
32	5	4.791649753	-0.055569851	-0.37223946	4.591793344
33	5	4.821087692	-0.094409684	-0.163579375	4.454550556
34	5	4.70682384	0.011198325	-0.229356505	4.586794418
35	5	4.955827058	-0.089471403	0.035401927	4.552546424
36	5	4.832305759	-0.281694031	-0.046091107	4.359757011
37	5	4.639571613	-0.114410351	-0.255182905	4.633355596
38	5	4.697749367	-0.084557388	-0.388714298	4.437149513
39	5	4.704110134	0.04405999	-0.106863146	4.508233683
40	5	4.286341385	-0.195927209	-0.255182905	4.438371545
41	5	4.989071116	-0.109372557	-0.185027918	4.541902735
42	5	4.963543687	-0.388714298	-0.37223946	4.570991126
43	5	4.510859507	0.033225648	-0.201421728	4.639137774
44	5	4.758749274	-0.106863146	-0.388714298	4.345615799
45	5	4.695924549	-0.041385216	-0.079667403	4.56602247
46	5	4.950177325	-0.255182905	-0.201421728	4.619766998
